age,annual_income,employment_years,credit_history_years,loan_amount,loan_term_months,interest_rate,monthly_debt,debt_to_income,credit_utilization,late_payments_12m,recent_credit_inquiries,existing_loans,savings_balance,home_ownership,loan_purpose,employment_type,region,defaulted
61,52322.58,0.0,38.2,18165.83,36,15.12,999.31,0.229,0.385,4,0,4,11347.63,rent,home_improvement,contract,south,0
60,40259.47,4.6,40.0,7809.24,12,22.21,1885.82,0.562,0.49,2,1,3,22490.46,rent,medical,salaried,midwest,1
67,25465.34,4.9,40.0,6382.33,36,15.23,985.11,0.464,0.689,0,1,4,7887.43,mortgage,small_business,salaried,south,1
26,30703.99,4.5,4.1,4159.58,24,12.34,763.34,0.298,0.356,0,1,2,18243.02,rent,small_business,salaried,southeast,0
63,18392.88,10.9,40.0,3285.68,36,6.48,753.33,0.491,0.539,3,0,2,5165.3,mortgage,debt_consolidation,self_employed,northeast,0
24,22456.33,9.9,4.0,6462.24,60,8.48,494.51,0.264,0.527,0,2,0,12611.73,mortgage,small_business,contract,southeast,0
43,27559.96,6.8,21.5,17544.15,48,12.54,830.82,0.362,0.135,1,0,5,0.0,own,debt_consolidation,salaried,southeast,0
49,57868.98,5.0,18.2,26144.14,24,14.04,2788.82,0.578,0.663,1,5,1,10210.01,own,home_improvement,contract,midwest,1
38,26407.64,10.6,12.0,10231.21,48,12.17,413.91,0.188,0.302,0,2,0,14152.51,rent,small_business,salaried,southeast,0
28,45201.69,6.4,7.5,24280.66,12,15.97,938.13,0.249,0.245,2,1,0,9219.63,rent,debt_consolidation,salaried,midwest,0
30,27554.12,3.2,7.3,12706.63,12,12.11,1281.77,0.558,0.432,0,5,2,13741.97,rent,debt_consolidation,salaried,northeast,1
60,38335.74,0.0,37.1,7776.55,12,10.66,1052.36,0.329,0.471,1,1,2,9941.0,mortgage,debt_consolidation,salaried,north,0
36,32552.64,4.7,16.5,8471.91,24,17.07,682.68,0.252,0.553,2,5,5,18219.91,mortgage,debt_consolidation,salaried,south,0
35,49845.51,9.5,15.5,12969.26,36,20.25,415.97,0.1,0.477,1,1,3,19839.68,rent,home_improvement,salaried,northeast,0
65,27594.71,15.6,37.5,13741.34,36,9.85,704.2,0.306,0.44,0,2,4,11393.86,mortgage,education,self_employed,northeast,0
27,18000.0,6.7,5.9,7394.82,12,15.52,525.49,0.35,0.747,1,2,0,4672.04,rent,debt_consolidation,salaried,midwest,1
64,19333.24,3.4,40.0,7040.75,60,6.5,482.4,0.299,0.726,0,1,0,8014.91,mortgage,debt_consolidation,salaried,southeast,0
65,27628.73,1.8,40.0,13004.36,36,8.31,529.15,0.23,0.286,4,2,1,8817.74,mortgage,home_improvement,self_employed,northeast,1
49,20442.98,8.7,25.5,14947.35,36,12.03,475.86,0.279,0.188,1,2,2,6671.6,rent,debt_consolidation,salaried,northeast,0
28,41039.45,0.0,13.9,13048.16,36,19.27,1460.05,0.427,0.653,3,3,0,17632.03,mortgage,education,contract,southeast,1
28,28406.62,8.7,5.2,12718.3,36,11.23,1328.7,0.561,0.246,0,1,5,0.0,mortgage,education,self_employed,southeast,1
34,93651.41,9.8,7.1,39580.19,36,11.07,3362.28,0.431,0.205,1,1,5,39969.72,mortgage,small_business,salaried,north,1
48,18000.0,8.2,23.0,10286.73,36,14.65,643.39,0.429,0.424,1,1,2,1516.72,mortgage,small_business,salaried,northeast,1
28,37628.84,5.6,1.0,21827.84,48,14.66,1634.07,0.521,0.765,2,4,4,0.0,rent,education,salaried,northeast,1
42,21509.71,8.8,13.4,12460.89,24,11.2,303.25,0.169,0.452,1,1,1,6974.55,mortgage,home_improvement,salaried,midwest,0
26,28078.84,7.2,1.0,6934.27,36,22.84,567.64,0.243,0.39,1,1,0,9963.05,mortgage,small_business,salaried,southeast,1
46,36658.34,3.4,10.4,14770.7,12,13.39,327.85,0.107,0.813,2,0,5,15333.76,rent,home_improvement,salaried,southeast,1
22,18000.0,13.9,1.0,11358.72,48,14.98,403.21,0.269,0.661,2,1,4,11915.27,mortgage,home_improvement,salaried,northeast,0
55,38157.09,5.1,31.3,13750.44,24,12.81,1969.43,0.619,0.457,1,0,4,11163.24,mortgage,education,self_employed,midwest,1
23,76820.06,9.6,1.0,56853.05,24,16.35,1650.53,0.258,0.282,3,1,4,50874.26,rent,education,salaried,northeast,1
30,28554.1,0.0,9.5,9988.67,60,19.69,1295.11,0.544,0.14,1,0,4,11403.44,rent,home_improvement,contract,south,1
29,38527.18,11.6,5.5,16702.69,36,21.49,405.56,0.126,0.509,2,6,4,7271.14,mortgage,medical,contract,northeast,0
60,53128.41,12.4,39.9,22258.21,12,11.3,1453.26,0.328,0.246,1,0,5,19795.56,rent,small_business,self_employed,northeast,0
23,32245.69,6.6,1.0,12679.27,24,19.12,724.96,0.27,0.452,0,4,5,4114.11,own,home_improvement,self_employed,south,0
41,27065.0,8.7,20.9,17666.62,36,16.81,425.95,0.189,0.608,0,0,5,16346.38,rent,home_improvement,salaried,northeast,0
49,18000.0,8.7,29.1,3920.82,60,18.59,421.73,0.281,0.39,0,1,2,5296.7,rent,education,salaried,southeast,0
45,45216.44,3.9,20.1,21596.67,36,14.11,1626.62,0.432,0.836,1,4,4,0.0,own,medical,self_employed,southeast,0
53,32940.87,8.7,30.6,16790.58,24,13.71,946.41,0.345,0.48,1,2,1,14256.45,rent,education,salaried,midwest,1
59,22576.68,3.3,40.0,14816.38,36,18.43,1008.31,0.536,0.773,1,2,1,2122.35,mortgage,home_improvement,salaried,south,1
39,36430.83,4.1,22.6,18353.71,36,18.51,1726.43,0.569,0.599,0,1,5,0.0,rent,home_improvement,contract,midwest,1
60,27034.1,11.0,40.0,19594.66,12,21.08,766.47,0.34,0.725,1,1,2,0.0,rent,debt_consolidation,self_employed,northeast,0
36,27668.81,10.4,17.0,18523.32,48,15.33,1406.8,0.61,0.407,1,1,5,17148.66,mortgage,small_business,salaried,south,1
68,44562.25,3.7,40.0,15138.07,12,14.05,441.5,0.119,0.815,1,1,2,0.0,mortgage,medical,self_employed,midwest,0
45,19690.26,3.6,21.0,13029.85,48,5.5,376.12,0.229,0.772,1,2,1,5653.6,rent,medical,self_employed,southeast,1
56,53630.46,3.9,28.2,38819.93,48,7.73,1363.22,0.305,0.863,2,0,2,11478.49,mortgage,home_improvement,contract,southeast,1
63,19205.88,9.4,36.6,5416.72,12,12.84,631.65,0.395,0.691,1,0,3,11010.51,rent,home_improvement,self_employed,south,0
59,26151.59,2.5,31.2,13191.69,48,9.88,816.81,0.375,0.231,2,0,0,16488.89,mortgage,home_improvement,salaried,northeast,0
61,77469.33,7.9,35.3,23049.95,48,17.92,2496.5,0.387,0.64,0,2,3,48668.66,mortgage,debt_consolidation,self_employed,southeast,1
46,55463.98,9.5,22.1,29353.05,36,9.0,2606.69,0.564,0.291,3,2,0,11437.47,own,medical,salaried,southeast,1
23,35989.9,6.1,1.0,6442.01,36,12.39,689.46,0.23,0.265,1,1,2,11920.28,own,debt_consolidation,salaried,north,0
44,23271.33,10.5,16.9,13556.44,12,12.56,1010.56,0.521,0.691,5,0,1,12978.07,own,education,self_employed,north,1
29,27658.98,5.3,4.3,10634.5,12,19.56,878.91,0.381,0.429,1,0,3,1603.58,own,home_improvement,salaried,north,0
63,35624.03,5.6,34.3,17455.9,48,11.95,1023.79,0.345,0.29,1,2,5,877.47,own,small_business,contract,southeast,0
32,35093.1,2.6,19.6,4782.95,12,16.4,706.78,0.242,0.126,0,2,0,21274.63,mortgage,medical,contract,midwest,0
31,33250.8,10.6,9.3,18558.21,24,15.32,676.65,0.244,0.473,1,3,0,0.0,rent,small_business,salaried,midwest,0
32,34099.92,3.4,10.4,14747.35,36,18.29,823.45,0.29,0.734,0,2,2,4762.91,mortgage,small_business,salaried,southeast,1
51,31570.0,7.9,22.8,16224.08,24,18.07,1295.15,0.492,0.069,1,4,4,2220.27,mortgage,debt_consolidation,salaried,southeast,0
48,18851.9,6.2,17.9,6011.32,48,14.36,530.11,0.337,0.186,2,2,1,459.74,own,debt_consolidation,salaried,southeast,0
66,27807.62,2.3,40.0,5891.51,48,7.38,377.88,0.163,0.385,2,1,4,18328.99,mortgage,small_business,salaried,midwest,0
40,50723.37,4.1,10.6,20001.25,48,13.53,2072.58,0.49,0.551,1,2,0,6167.51,rent,home_improvement,salaried,northeast,1
34,19444.11,12.0,16.3,13896.84,12,14.42,710.07,0.438,0.464,0,3,1,5263.82,rent,small_business,salaried,southeast,0
23,31900.81,7.3,5.1,8406.19,36,15.7,1575.34,0.593,0.266,1,0,3,5995.84,rent,home_improvement,self_employed,southeast,1
21,24482.24,2.5,1.0,13361.88,48,11.4,746.47,0.366,0.226,1,2,3,5376.81,mortgage,debt_consolidation,salaried,midwest,0
38,36198.29,7.7,16.4,5480.47,36,19.29,1307.33,0.433,0.408,1,3,2,18931.5,mortgage,education,salaried,northeast,1
65,29341.97,5.9,40.0,16795.43,36,14.56,828.52,0.339,0.622,2,4,5,13564.6,rent,medical,salaried,north,1
46,64247.97,20.3,20.1,17360.79,36,10.63,2396.56,0.448,0.648,0,0,2,21693.35,rent,medical,salaried,southeast,0
63,42734.63,7.6,36.9,17284.27,24,12.58,1123.58,0.316,0.747,1,1,3,14153.2,rent,debt_consolidation,salaried,north,1
25,19911.3,5.0,1.0,7002.49,24,22.6,256.26,0.154,0.728,0,1,0,0.0,own,debt_consolidation,self_employed,southeast,1
25,45794.34,12.2,4.0,8750.81,36,17.29,2338.6,0.613,0.809,2,3,5,10928.98,rent,debt_consolidation,salaried,southeast,0
61,24950.43,0.0,38.2,8426.17,12,18.9,975.14,0.469,0.369,1,1,3,14962.18,rent,medical,contract,north,0
26,27110.1,6.9,3.1,9233.12,48,10.13,923.23,0.409,0.425,1,2,2,14906.69,mortgage,small_business,salaried,southeast,1
23,39411.15,14.5,1.0,17692.71,36,11.61,1116.54,0.34,0.592,1,1,1,0.0,rent,medical,salaried,northeast,1
40,28098.35,6.0,29.8,20584.33,12,11.64,1086.87,0.464,0.4,1,1,3,10715.06,mortgage,medical,self_employed,south,1
65,50261.74,0.0,40.0,20914.47,48,15.27,621.82,0.148,0.688,2,1,0,22522.97,own,debt_consolidation,salaried,midwest,0
54,24951.91,4.9,31.0,17368.74,36,13.77,532.52,0.256,0.733,0,1,2,14002.58,rent,home_improvement,salaried,southeast,0
25,26636.63,12.3,6.9,10941.83,24,12.44,327.05,0.147,0.737,2,1,4,12999.97,own,home_improvement,salaried,south,0
61,26221.22,8.0,39.2,4923.09,60,12.97,323.51,0.148,0.482,0,1,4,17592.9,mortgage,home_improvement,contract,southeast,0
61,27239.73,3.1,38.6,7218.43,48,11.17,207.77,0.092,0.809,3,1,3,620.63,rent,medical,salaried,north,1
59,54811.78,3.8,39.0,20649.58,36,13.74,2229.85,0.488,0.489,0,2,2,14743.18,rent,debt_consolidation,salaried,north,0
64,44985.45,4.3,40.0,14619.48,48,19.18,760.05,0.203,0.114,0,1,3,26695.07,rent,education,contract,midwest,0
32,70839.81,7.9,6.2,47141.94,36,8.14,3124.53,0.529,0.633,1,1,1,19366.49,rent,debt_consolidation,salaried,north,0
68,89537.3,11.9,40.0,49025.86,36,15.96,4241.04,0.568,0.787,2,1,3,29742.29,rent,education,self_employed,northeast,0
36,22406.33,10.7,15.0,10852.16,24,20.3,319.34,0.171,0.222,1,3,1,5519.02,own,debt_consolidation,salaried,southeast,0
59,35581.32,8.3,36.7,15281.27,24,13.73,1372.21,0.463,0.176,1,1,1,504.73,rent,small_business,self_employed,southeast,0
48,21078.23,1.2,25.0,7804.86,36,12.28,577.13,0.329,0.43,0,1,4,13493.38,own,small_business,salaried,midwest,0
58,24919.49,1.2,40.0,12601.32,36,18.38,1196.63,0.576,0.484,0,0,0,2430.37,mortgage,home_improvement,salaried,northeast,0
51,26512.33,8.6,25.9,5262.76,48,10.37,754.69,0.342,0.36,2,1,1,9395.77,mortgage,medical,salaried,southeast,1
51,22158.91,1.1,30.0,4928.05,36,14.4,525.52,0.285,0.392,2,1,2,3929.27,mortgage,education,contract,southeast,0
50,22207.99,5.6,21.3,6905.87,36,10.13,442.43,0.239,0.472,0,0,5,13156.4,own,debt_consolidation,salaried,north,0
58,32513.17,7.7,32.3,7408.01,48,6.65,1538.84,0.568,0.172,0,0,4,4909.83,own,home_improvement,salaried,southeast,0
56,20722.56,1.9,27.7,11326.38,60,13.86,349.07,0.202,0.262,0,0,2,12545.1,rent,debt_consolidation,salaried,south,0
27,49202.19,2.4,8.5,6672.02,24,9.19,2160.66,0.527,0.077,1,1,3,10310.03,rent,debt_consolidation,self_employed,northeast,1
60,23495.01,6.1,38.7,5190.33,60,14.45,361.94,0.185,0.643,2,0,1,13867.05,rent,debt_consolidation,salaried,northeast,0
46,112422.45,8.5,28.6,77418.95,48,19.18,4004.43,0.427,0.318,0,0,4,3272.28,rent,debt_consolidation,salaried,southeast,0
36,28578.74,10.7,16.2,21389.82,12,22.29,770.62,0.324,0.744,3,3,2,13205.75,rent,medical,salaried,northeast,1
45,35605.22,8.9,16.4,15209.91,24,14.89,404.98,0.136,0.669,2,2,5,14238.49,mortgage,medical,salaried,south,1
67,20049.44,6.8,37.3,8663.03,24,18.78,247.28,0.148,0.634,2,1,5,921.14,rent,debt_consolidation,salaried,southeast,0
62,70725.29,3.5,40.0,42947.31,36,16.18,1367.44,0.232,0.623,1,0,1,12445.82,own,education,self_employed,northeast,0
61,55281.32,2.2,40.0,7894.14,36,12.89,2275.71,0.494,0.25,1,2,2,28029.91,mortgage,debt_consolidation,salaried,north,0
43,39132.35,4.5,20.3,15223.4,36,6.42,1544.51,0.474,0.585,1,1,5,16413.06,rent,small_business,salaried,midwest,1
58,19620.75,8.1,32.4,3588.47,48,21.33,311.91,0.191,0.553,2,3,0,4668.67,mortgage,debt_consolidation,salaried,southeast,0
39,37740.16,7.8,23.9,14061.37,24,10.09,1060.34,0.337,0.117,0,1,3,1823.85,mortgage,debt_consolidation,salaried,southeast,0
53,21568.71,0.0,37.2,15956.7,36,20.31,237.93,0.132,0.352,1,1,3,7206.25,rent,home_improvement,self_employed,south,0
51,63843.45,3.4,25.8,37973.38,48,16.75,2482.5,0.467,0.161,1,1,3,25678.16,rent,education,salaried,southeast,0
32,48526.33,11.3,17.8,35937.58,60,10.4,2055.83,0.508,0.685,3,1,3,18261.25,rent,home_improvement,self_employed,southeast,1
33,35957.19,6.8,12.0,21215.13,48,15.81,1685.48,0.562,0.394,2,0,3,8448.86,rent,education,salaried,southeast,0
23,18000.0,0.8,1.0,9055.97,24,23.46,837.45,0.558,0.357,0,4,2,3868.86,mortgage,debt_consolidation,self_employed,southeast,0
27,22855.92,15.9,2.1,13602.91,12,20.95,499.9,0.262,0.819,1,4,2,4484.6,rent,small_business,salaried,northeast,1
41,46113.44,6.4,18.6,24681.19,24,12.35,835.61,0.217,0.339,4,3,5,1415.85,rent,debt_consolidation,salaried,southeast,1
43,57492.58,8.0,21.6,23707.73,36,11.51,2702.91,0.564,0.551,4,0,0,37704.18,mortgage,debt_consolidation,salaried,southeast,1
28,55041.97,8.1,1.2,16749.5,24,14.92,728.59,0.159,0.611,0,1,0,10210.23,mortgage,debt_consolidation,salaried,southeast,0
41,18000.0,5.0,16.7,8058.82,60,13.8,168.07,0.112,0.317,0,0,0,5315.1,rent,debt_consolidation,salaried,northeast,0
50,39208.62,3.6,29.9,11090.19,36,19.54,815.84,0.25,0.672,5,2,3,7560.7,rent,education,salaried,south,1
32,52918.93,15.0,8.8,22575.54,36,17.61,2163.33,0.491,0.571,1,2,1,13184.56,rent,home_improvement,salaried,southeast,0
37,18000.0,10.5,12.3,3817.18,24,7.39,682.3,0.455,0.599,0,2,0,7855.9,mortgage,small_business,salaried,south,0
38,34429.88,9.8,7.3,16395.47,36,16.43,1758.82,0.613,0.437,2,1,1,12633.88,mortgage,debt_consolidation,self_employed,southeast,1
45,38754.95,8.8,18.5,10639.35,36,13.75,885.38,0.274,0.129,2,1,1,19068.35,mortgage,debt_consolidation,salaried,midwest,0
38,30445.06,2.5,9.5,9284.92,48,14.66,580.89,0.229,0.559,1,2,0,1430.26,rent,small_business,salaried,south,0
56,18000.0,11.6,35.7,7818.98,12,15.55,426.35,0.284,0.466,1,2,4,9550.27,own,debt_consolidation,salaried,northeast,0
36,30127.9,3.1,15.4,6700.19,48,19.53,1261.4,0.502,0.411,1,3,0,18088.74,rent,debt_consolidation,self_employed,northeast,0
41,30107.56,7.6,19.1,21867.1,12,18.61,491.06,0.196,0.107,2,1,5,19169.39,rent,debt_consolidation,self_employed,northeast,0
39,32461.49,0.0,16.6,13035.72,24,11.35,1600.85,0.592,0.415,3,1,5,2922.46,own,medical,salaried,northeast,1
29,27264.53,0.0,10.5,9322.72,60,14.25,810.61,0.357,0.358,0,2,5,8443.65,own,home_improvement,self_employed,south,0
53,28679.41,7.8,24.3,3969.05,24,12.62,1201.9,0.503,0.259,2,1,1,17545.78,mortgage,debt_consolidation,salaried,south,0
32,33973.07,3.3,5.0,22124.97,12,7.44,1491.2,0.527,0.34,2,1,1,16993.38,rent,home_improvement,contract,southeast,1
35,41598.98,0.0,13.4,21393.33,36,14.04,1173.65,0.339,0.535,2,2,5,1641.37,mortgage,medical,salaried,southeast,0
59,30398.26,8.7,33.1,11622.33,36,22.25,1216.79,0.48,0.625,0,0,3,14539.22,mortgage,debt_consolidation,salaried,south,0
66,29084.12,15.0,40.0,7988.99,12,7.31,671.2,0.277,0.141,0,2,3,16066.44,rent,debt_consolidation,self_employed,south,0
53,35910.63,12.1,26.8,21167.04,12,14.4,1549.85,0.518,0.416,1,2,5,18663.61,rent,medical,salaried,southeast,0
64,18000.0,5.5,40.0,12881.68,12,14.26,787.36,0.525,0.594,0,2,1,2882.3,mortgage,medical,self_employed,north,0
62,42207.57,6.5,39.7,15190.93,36,15.71,1356.8,0.386,0.836,0,2,2,18918.05,mortgage,small_business,salaried,southeast,0
44,34536.21,10.1,21.3,7078.95,24,10.46,569.27,0.198,0.284,2,0,0,16449.48,mortgage,debt_consolidation,salaried,southeast,1
57,35125.1,11.0,31.2,6631.36,48,8.51,1767.73,0.604,0.458,4,1,4,10092.44,rent,debt_consolidation,salaried,northeast,1
36,51715.27,5.1,15.8,6413.11,48,8.71,2548.57,0.591,0.165,1,5,1,27335.81,own,medical,salaried,midwest,0
43,18000.0,6.6,31.2,10596.45,12,20.09,622.05,0.415,0.583,2,4,0,1387.92,own,small_business,salaried,south,1
46,18000.0,7.7,27.9,13289.02,24,10.37,916.94,0.611,0.707,0,0,2,2591.27,mortgage,home_improvement,salaried,northeast,1
67,38754.32,8.7,40.0,28890.39,12,12.4,1135.21,0.352,0.685,3,1,3,18225.32,rent,debt_consolidation,self_employed,southeast,1
61,34441.27,6.0,37.7,21148.47,24,23.34,811.56,0.283,0.656,1,2,1,1641.23,rent,debt_consolidation,salaried,north,1
44,37103.79,6.0,13.4,8243.56,24,11.42,1016.25,0.329,0.458,3,1,5,1025.87,mortgage,education,salaried,northeast,1
52,28450.09,12.0,26.4,20938.04,48,15.94,248.44,0.105,0.428,1,0,4,9683.52,mortgage,small_business,self_employed,southeast,0
30,45662.31,11.3,6.6,14909.77,24,18.97,1432.75,0.377,0.561,0,0,5,20695.18,mortgage,home_improvement,salaried,midwest,0
59,51108.61,8.4,36.1,16875.06,36,18.77,1872.98,0.44,0.629,2,0,2,27489.35,rent,small_business,self_employed,southeast,1
47,42330.9,13.4,19.0,23409.93,36,8.91,490.83,0.139,0.568,0,1,2,5928.22,own,education,salaried,south,0
46,30960.02,5.0,25.7,4671.9,48,11.5,562.5,0.218,0.763,0,2,3,11961.59,rent,small_business,self_employed,south,1
57,18000.0,13.0,34.6,11524.23,24,15.77,704.16,0.469,0.685,0,2,5,0.0,own,debt_consolidation,self_employed,midwest,1
51,47718.73,8.7,32.9,35707.79,24,22.6,2022.23,0.509,0.573,1,2,3,0.0,mortgage,medical,salaried,north,1
24,57706.55,19.6,1.0,35102.55,60,11.3,2944.8,0.612,0.694,5,3,2,8122.12,mortgage,debt_consolidation,salaried,south,1
34,45284.25,1.7,9.2,27734.62,24,12.43,817.91,0.217,0.203,2,1,3,8168.43,rent,small_business,salaried,northeast,1
29,23874.12,3.7,9.2,8735.48,36,16.26,1063.15,0.534,0.645,1,3,0,9502.78,rent,debt_consolidation,salaried,northeast,1
56,45843.73,8.2,33.5,7405.16,36,17.1,660.67,0.173,0.595,3,0,5,3404.25,own,education,salaried,southeast,0
22,49583.95,8.1,1.0,30711.33,36,17.36,622.59,0.151,0.762,0,2,4,20737.01,mortgage,small_business,salaried,northeast,1
30,66483.08,14.3,8.1,32989.54,24,10.95,2624.81,0.474,0.443,1,1,2,40558.73,mortgage,debt_consolidation,self_employed,north,0
49,23909.56,3.8,28.4,16566.54,12,12.27,639.12,0.321,0.354,2,0,0,0.0,mortgage,home_improvement,salaried,northeast,0
54,31410.24,10.1,33.9,6063.95,36,15.41,1331.58,0.509,0.695,1,3,1,16759.42,rent,home_improvement,self_employed,south,0
45,47280.55,11.1,20.5,14762.29,36,19.8,916.4,0.233,0.217,0,1,3,15896.52,mortgage,home_improvement,salaried,northeast,0
62,35387.44,9.3,40.0,12286.99,48,13.5,575.41,0.195,0.326,1,3,5,10870.43,rent,debt_consolidation,salaried,midwest,0
65,21605.92,2.7,40.0,11893.33,48,14.41,677.62,0.376,0.655,0,2,2,5106.52,rent,debt_consolidation,salaried,southeast,0
27,41115.43,12.1,10.0,25338.6,60,10.19,487.45,0.142,0.426,1,4,5,20529.07,rent,medical,salaried,southeast,0
66,44048.12,11.4,40.0,31954.39,60,22.33,846.18,0.231,0.481,0,2,3,6409.09,mortgage,debt_consolidation,salaried,northeast,0
50,35844.46,8.9,27.8,10972.22,48,15.15,507.1,0.17,0.789,1,4,4,15477.48,rent,home_improvement,salaried,southeast,1
51,37881.79,7.3,29.4,16326.71,12,19.03,798.12,0.253,0.492,1,3,0,4766.64,own,debt_consolidation,salaried,midwest,0
25,30987.63,7.4,1.1,4283.9,36,14.63,1274.03,0.493,0.558,2,1,4,1596.02,mortgage,education,contract,southeast,0
50,64271.86,6.2,23.6,17956.42,36,14.86,777.69,0.145,0.36,0,3,1,24906.24,own,small_business,salaried,southeast,0
55,23663.98,9.1,28.8,8415.44,36,8.2,809.33,0.41,0.071,4,2,2,4262.18,mortgage,education,contract,midwest,0
48,26992.8,6.6,22.5,13337.08,24,5.5,890.25,0.396,0.05,2,0,1,12928.25,rent,small_business,salaried,southeast,0
25,34704.13,3.1,3.1,14458.87,36,19.76,1071.75,0.371,0.688,2,2,3,11532.66,own,home_improvement,contract,south,0
46,49969.13,2.3,25.6,17470.17,24,14.83,1422.01,0.341,0.264,1,5,3,8014.7,rent,medical,salaried,south,0
65,18418.36,3.5,40.0,9451.73,24,15.37,673.01,0.438,0.107,1,1,2,9539.04,own,education,salaried,midwest,0
55,19923.9,7.4,34.7,12791.7,48,9.25,896.54,0.54,0.407,1,0,0,1566.97,rent,education,salaried,southeast,0
27,18000.0,6.4,3.9,4900.66,36,10.71,251.25,0.167,0.692,1,1,3,7546.26,own,education,salaried,northeast,0
67,35022.01,7.4,40.0,11767.81,36,18.96,1516.54,0.52,0.373,0,2,2,4211.9,mortgage,home_improvement,salaried,north,0
67,21597.04,8.5,40.0,12182.93,36,21.81,203.73,0.113,0.452,0,1,4,2186.88,mortgage,small_business,self_employed,northeast,1
29,29392.33,4.0,10.3,17932.33,36,11.89,833.63,0.34,0.846,1,0,4,17019.88,mortgage,small_business,self_employed,southeast,0
59,45605.28,12.4,40.0,29187.38,24,17.32,1353.68,0.356,0.199,4,1,2,27788.36,rent,medical,salaried,southeast,0
40,26385.03,5.4,13.3,6645.83,36,15.3,410.5,0.187,0.16,1,3,0,5052.44,rent,medical,self_employed,northeast,0
49,38068.35,4.8,28.1,17501.47,24,13.99,407.41,0.128,0.555,2,1,3,7098.42,rent,home_improvement,salaried,southeast,0
42,30463.3,8.4,22.8,20928.5,36,22.28,305.78,0.12,0.262,0,1,4,12688.04,own,small_business,salaried,northeast,1
58,45811.39,0.0,39.9,16809.52,12,12.6,382.17,0.1,0.123,2,0,4,6966.35,mortgage,debt_consolidation,salaried,northeast,0
68,42173.77,3.3,40.0,16482.62,60,19.71,1369.73,0.39,0.642,1,0,2,23119.89,rent,medical,salaried,midwest,0
59,25832.48,10.4,29.8,19127.36,48,16.1,352.95,0.164,0.441,2,0,1,0.0,rent,education,salaried,northeast,0
65,32182.12,0.0,40.0,6153.97,36,14.43,1385.71,0.517,0.613,2,0,0,2984.87,own,medical,salaried,northeast,1
66,53550.06,11.0,40.0,30230.58,24,20.26,2523.25,0.565,0.311,0,0,3,5108.75,own,small_business,salaried,southeast,0
25,40750.29,12.5,1.0,26716.54,36,15.72,807.88,0.238,0.163,4,3,1,5296.57,own,education,self_employed,south,0
33,19211.72,5.0,18.1,4130.52,48,14.1,270.26,0.169,0.184,1,0,4,11537.72,rent,debt_consolidation,self_employed,midwest,0
55,45495.09,7.7,23.1,25937.0,36,20.29,1141.89,0.301,0.71,0,1,3,15846.81,mortgage,small_business,contract,midwest,1
49,21904.85,11.0,15.0,9111.0,48,19.75,1015.01,0.556,0.571,5,2,0,0.0,rent,home_improvement,salaried,southeast,1
23,62520.86,4.6,12.2,41096.29,48,19.55,1541.67,0.296,0.497,1,4,4,0.0,mortgage,home_improvement,salaried,southeast,1
25,53110.05,10.0,2.4,36735.96,36,5.5,612.99,0.139,0.444,4,1,1,9595.64,own,debt_consolidation,salaried,northeast,1
45,39016.97,3.8,25.2,26128.32,36,16.35,1988.96,0.612,0.201,1,2,5,11587.65,rent,debt_consolidation,salaried,south,0
50,36902.62,4.6,28.2,5925.18,36,15.39,1075.79,0.35,0.496,1,2,0,14781.63,mortgage,education,salaried,south,0
29,31640.92,3.3,7.9,18883.9,36,14.35,698.42,0.265,0.926,2,0,2,715.06,rent,small_business,self_employed,southeast,1
29,45934.88,7.9,2.3,32180.25,36,17.06,2153.41,0.563,0.266,1,1,0,23007.12,mortgage,debt_consolidation,contract,south,0
27,29562.83,11.1,4.5,15119.9,48,15.59,1430.84,0.581,0.783,3,0,3,8039.55,rent,education,salaried,southeast,1
48,38136.97,5.8,29.1,19013.26,12,17.35,1106.84,0.348,0.652,1,1,2,23643.38,rent,debt_consolidation,contract,southeast,0
21,49822.02,1.4,1.0,7391.27,24,13.37,1019.8,0.246,0.728,0,1,3,18537.2,rent,debt_consolidation,salaried,south,1
48,27283.61,2.2,22.7,17988.1,24,20.79,774.45,0.341,0.902,0,0,4,6024.25,rent,debt_consolidation,salaried,midwest,1
43,26667.45,8.1,25.3,3979.7,60,17.77,440.93,0.198,0.253,1,3,5,1756.79,mortgage,debt_consolidation,salaried,north,1
43,20918.02,13.9,27.4,6641.7,36,16.78,589.62,0.338,0.167,1,3,2,12834.82,mortgage,medical,salaried,southeast,0
53,22090.91,8.1,21.0,15536.4,36,16.57,375.35,0.204,0.577,0,1,3,0.0,own,small_business,salaried,southeast,0
46,18000.0,5.0,25.9,12930.11,36,19.36,623.98,0.416,0.615,1,2,3,4324.64,rent,small_business,salaried,southeast,1
55,46935.43,9.6,32.6,34962.08,36,18.79,1917.86,0.49,0.229,0,3,5,14245.5,mortgage,small_business,salaried,north,1
57,73846.52,5.5,35.8,31025.39,48,14.03,3713.81,0.603,0.726,0,0,1,21992.38,own,home_improvement,salaried,southeast,0
65,62858.29,5.0,39.5,14569.33,60,18.66,2802.37,0.535,0.555,1,2,3,24128.45,mortgage,small_business,self_employed,north,1
59,18000.0,2.7,28.0,7693.29,48,15.23,189.77,0.127,0.62,2,3,5,9045.23,mortgage,education,salaried,northeast,1
45,46837.48,12.1,19.4,8639.51,48,22.55,758.07,0.194,0.189,0,2,1,2636.3,own,small_business,salaried,midwest,0
